"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 13:49:49 GMT 2022","Sun Sep 11 13:49:49 GMT 2022","540","","Registration Page","","","","Show message Incorrect email",""
"passed","Sun Sep 11 13:49:36 GMT 2022","Sun Sep 11 13:49:38 GMT 2022","2441","","Login Page","","","","Show message wrong password",""
"passed","Sun Sep 11 13:49:53 GMT 2022","Sun Sep 11 13:49:56 GMT 2022","2288","","Todo Page","","","","Add new task",""
"passed","Sun Sep 11 13:49:29 GMT 2022","Sun Sep 11 13:49:30 GMT 2022","1701","","Login Page","","","","Show message email is empty",""
"passed","Sun Sep 11 13:49:45 GMT 2022","Sun Sep 11 13:49:47 GMT 2022","1683","","Registration Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:49:47 GMT 2022","Sun Sep 11 13:49:49 GMT 2022","2108","","Registration Page","","","","Show message user already exists",""
"passed","Sun Sep 11 13:49:56 GMT 2022","Sun Sep 11 13:49:59 GMT 2022","3569","","Todo Page","","","","Delete task by title",""
"failed","Sun Sep 11 13:49:30 GMT 2022","Sun Sep 11 13:49:36 GMT 2022","5327","","Login Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:49:26 GMT 2022","Sun Sep 11 13:49:29 GMT 2022","2615","","Login Page","","","","Successful login",""
"passed","Sun Sep 11 13:49:42 GMT 2022","Sun Sep 11 13:49:45 GMT 2022","3033","","Registration Page","","","","Successful registration",""
"passed","Sun Sep 11 13:49:59 GMT 2022","Sun Sep 11 13:50:02 GMT 2022","2500","","Todo Page","","","","Edit task",""
"passed","Sun Sep 11 13:49:38 GMT 2022","Sun Sep 11 13:49:40 GMT 2022","1387","","Login Page","","","","Show message user not found",""
