"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 13:51:37 GMT 2022","Sun Sep 11 13:51:40 GMT 2022","2659","","Login Page","","","","Show message wrong password",""
"passed","Sun Sep 11 13:52:01 GMT 2022","Sun Sep 11 13:52:05 GMT 2022","3967","","Todo Page","","","","Delete task by title",""
"passed","Sun Sep 11 13:51:40 GMT 2022","Sun Sep 11 13:51:41 GMT 2022","1579","","Login Page","","","","Show message user not found",""
"passed","Sun Sep 11 13:52:05 GMT 2022","Sun Sep 11 13:52:08 GMT 2022","2732","","Todo Page","","","","Edit task",""
"passed","Sun Sep 11 13:51:58 GMT 2022","Sun Sep 11 13:52:01 GMT 2022","2834","","Todo Page","","","","Add new task",""
"failed","Sun Sep 11 13:51:32 GMT 2022","Sun Sep 11 13:51:37 GMT 2022","5471","","Login Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:51:49 GMT 2022","Sun Sep 11 13:51:51 GMT 2022","2045","","Registration Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:51:28 GMT 2022","Sun Sep 11 13:51:31 GMT 2022","2932","","Login Page","","","","Successful login",""
"passed","Sun Sep 11 13:51:31 GMT 2022","Sun Sep 11 13:51:32 GMT 2022","863","","Login Page","","","","Show message email is empty",""
"passed","Sun Sep 11 13:51:53 GMT 2022","Sun Sep 11 13:51:54 GMT 2022","674","","Registration Page","","","","Show message Incorrect email",""
"passed","Sun Sep 11 13:51:51 GMT 2022","Sun Sep 11 13:51:53 GMT 2022","2408","","Registration Page","","","","Show message user already exists",""
"passed","Sun Sep 11 13:51:45 GMT 2022","Sun Sep 11 13:51:49 GMT 2022","3455","","Registration Page","","","","Successful registration",""
