"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 13:19:59 GMT 2022","Sun Sep 11 13:20:01 GMT 2022","2584","","Login Page","","","","Show message wrong password",""
"passed","Sun Sep 11 13:20:16 GMT 2022","Sun Sep 11 13:20:18 GMT 2022","2035","","Todo Page","","","","Add new task",""
"passed","Sun Sep 11 13:20:05 GMT 2022","Sun Sep 11 13:20:08 GMT 2022","2972","","Registration Page","","","","Successful registration",""
"passed","Sun Sep 11 13:20:12 GMT 2022","Sun Sep 11 13:20:13 GMT 2022","457","","Registration Page","","","","Show message Incorrect email",""
"passed","Sun Sep 11 13:19:53 GMT 2022","Sun Sep 11 13:19:54 GMT 2022","500","","Login Page","","","","Show message email is empty",""
"passed","Sun Sep 11 13:20:18 GMT 2022","Sun Sep 11 13:20:22 GMT 2022","3413","","Todo Page","","","","Delete task by title",""
"passed","Sun Sep 11 13:20:08 GMT 2022","Sun Sep 11 13:20:10 GMT 2022","1596","","Registration Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:20:10 GMT 2022","Sun Sep 11 13:20:12 GMT 2022","2115","","Registration Page","","","","Show message user already exists",""
"passed","Sun Sep 11 13:20:22 GMT 2022","Sun Sep 11 13:20:24 GMT 2022","2368","","Todo Page","","","","Edit task",""
"failed","Sun Sep 11 13:19:54 GMT 2022","Sun Sep 11 13:19:59 GMT 2022","5270","","Login Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:20:01 GMT 2022","Sun Sep 11 13:20:03 GMT 2022","1399","","Login Page","","","","Show message user not found",""
"passed","Sun Sep 11 13:19:51 GMT 2022","Sun Sep 11 13:19:53 GMT 2022","2240","","Login Page","","","","Successful login",""
